Processes: 906 total, 2 running, 904 sleeping, 3777 threads 
2026/06/18 23:30:46
Load Avg: 1.61, 2.59, 4.18 
CPU usage: 3.61% user, 13.5% sys, 83.33% idle 
SharedLibs: 1096M resident, 185M data, 317M linkedit.
MemRegions: 288673 total, 5256M resident, 549M private, 2840M shared.
PhysMem: 20G used (2435M wired, 3334M compressor), 3577M unused.
VM: 380T vsize, 6144M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 54343211/45G in, 58823274/49G out.
Disks: 24917648/473G read, 25410543/569G written.

PID    COMMAND          %CPU TIME     #TH   #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
73011  VSCodium Helper  0.0  00:36.59 25    1    125    32M   0B    12M   8538  8538  sleeping *0[354]     0.00000 0.00000    501 351950    122    103762     1600       1327733    926794     535964     133     8483     0.0   0      0      180    jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
73010  VSCodium Helper  0.0  21:13.49 18    1    253    268M  0B    30M   8538  8538  sleeping  0[952807]  0.00000 0.00000    501 277503    3747   4975801    3169374    7088212    10279589   6121946    548     1445     0.0   0      0      30     jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
72488  Managed Backgrou 0.0  00:00.31 2     1    45     5040K 0B    4640K 72488 1     sleeping *0[8]       0.00000 0.00000    501 5510      154    285        331        3136       1165       1402       301     0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
72482  TGOnDeviceInfere 0.0  00:02.33 5     4/3  88     86M   0B    86M   72482 1     sleeping *0[1]       0.00000 0.00000    301 37020     209    51591      47756      33625      100213     8363       6664    0        0.0   0      0      0      _modelmanagerd         N/A    N/A   N/A   N/A   N/A   N/A  
72288  shazamd          0.0  00:01.59 3     1    94     8833K 0B    6064K 72288 1     sleeping *0[170]     0.00000 0.00000    501 11782     174    2374       1869       44875      7065       15985      426     70       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68211  PlugInLibrarySer 0.0  00:00.03 2     1    23     2064K 0B    784K  68211 1     sleeping *0[41]      0.00000 0.00000    501 1068      87     188        110        864        343        145        3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68210  VTDecoderXPCServ 0.0  00:07.64 4     1    98     23M   0B    2224K 68210 1     sleeping *0[6720]    0.00000 0.00000    501 65854     131    24634      13329      37796      35157      28083      5       4        0.0   0      0      40     jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68209  com.apple.audio. 0.0  00:00.03 2     1    23     2912K 0B    2464K 68209 1     sleeping *0[2]       0.00000 0.00000    501 1198      101    144        62         503        308        66         3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68204  com.apple.quickt 0.0  00:00.07 2     1    24     3040K 0B    928K  68204 1     sleeping *0[290]     0.00000 0.00000    501 1651      91     185        108        1241       523        702        2       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68198  CSExattrCryptoSe 0.0  00:00.08 2     1    29     3024K 0B    2672K 68198 1     sleeping *0[10]      0.00000 0.00000    501 1441      90     184        97         712        379        677        3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
